"Dam Name","State","Downstream Hazard Potential","Incident Type","Incident Date","Incident Driver","Incident Mechanism 1","Incident Mechanism 2","Incident Mechanism 3","Incident ID","Incident Description","Named Hydrologic Event","EAP Enacted (Y/N) due to Incident","Fatalities (Number)","Number of People Evacuated","Number of Habitable Structures Evacuated","Number of Habitable Structures Flooded","Other Infrastructure Impacts","Economic Damages (in $)","Response","Volume released at failure (ac-ft)","Additional Remarks or Updates","Owner Type","Dam Type","Primary Purpose(s)","EAP","Dam Height","Max Storage (ac-ft)","Surface Area (acres)","Year Completed","NID Number","River Name","Latitude","Longitude","Year Modified","Regulatory Agency(ies)","Incident Time","Incident Duration","Incident Report Produced","Information Sources","Attachments"
"ALBRITTON LAKE DAM","MS","S","Non-failure","03/11/2016","Hydrologic/flooding","Overtopping","","","MS03326-2954","","","","0","","","","","","","","","P","RE","R","NR","33 ft","1369 ac-ft","80 acres","1995","MS03326","TR. MILL CREEK","30.9806","-89.6881","0","MS Dept. of Environmental Quality","5:00 AM","","","MS DEQ",""
"ALBRITTON LAKE DAM","MS","L","Non-failure","04/05/2021","Hydrologic/flooding","","","","MS03326-3474","Conduit became clogged. Caused dam to overtop, eroding downstream slope around the outlet.","","N","0","0","0","0","0","0","Directed owner to clear debris, repair erosion.","0 ac-ft","","P","RE","R","NR","33 ft","1369 ac-ft","80 acres","1995","MS03326","UNT OF MILL CREEK","30.9822","-89.6875","0","MS DEPARTMENT OF ENVIRONMENTAL QUALITY","","","N","MDEQ Dam Safety",""
"ALLEN LAKE DAM","VA","U","Non-failure","05/17/2018","Unknown","Spillway Erosion/head Cutting","","","VA029050-3299","Loss of emergency spillway , loss of lake volume.","","No","0","","","","","","","","","P","RE","R","N","24 ft","91 ac-ft","9 acres","0","VA029050","","37.5636","-78.403","0","DEPARTMENT OF CONSERVATION AND RECREATION","","","","VA DCR",""
"ALLENDALE LAKE DAM","IN","L","Non-failure","05/08/2013","Deterioration Or Poor Condition","Spillway Pipe Failure","Sinkhole","","IN03121-1602","A sinkhole in the embankment developed over the principal spillway pipe.  After the pipe was camera inspected, the engineer determined that the metal pipe needed to be replaced immediately","","No","","0","","","","","","","The owner has been keeping the lake level below the pipe inlet.","P","RE","R","N","32 ft","135 ac-ft","8 acres","1981","IN03121","UNNAMED TRIBUTARY BUCKHART CREEK","39.4039","-86.1231","0","IDNR","","","","",""
"ALVIN","SD","L","Non-failure","01/01/2019","Hydrologic/flooding","Spillway Chute Failure","Slope Stability","","SD00029-3414","Multiple high flow events in 2019 damaged primary spillway with portion of spillway wall collapsing and caused embankment sloughing adjacent to primary spillway and stilling basin.","","No","0","unknown","unknown","unknown","Roads","","Owner did some stabilization work on sloughing and hired an engineering consultant to do additional analysis","","County road downstream of dam was closed for several days in May 2019. Downstream highway culverts have limited capacity so during high flow event water backs up in the stilling basin, primary spillway, and against embankment area adjacent to primary spillway and stilling basin.","S","RE","CR","NR","36 ft","2150 ac-ft","46 acres","1954","SD00029","NINE MILE CREEK","43.44","-96.6083","1994","DENR","","","","SD Dam Safety",""
"AMANDA LAKE DAM","TX","L","Failure","05/27/2016","Hydrologic/flooding","Overtopping","","","TX03774-2910","OVERTOPPING, BREACHED","","","","","","","","","","","","P","RE","R","NR","26 ft","1883 ac-ft","0 acres","1959","TX03774","TR-WOLF CREEK","30.8889","-94.4003","1996","TCEQ","","","","",""
"ANDERSON-RAINES DAM","TX","L","Non-failure","08/03/2007","Unknown","Spillway Deficiency","","","TX07259-2721","S.S. FAILED, DID NOT BREACH","","","","","","","","","","","","P","RE","","NR","20 ft","134 ac-ft","5 acres","1987","TX07259","TR-DRY HOLLOW","30.9145","-97.1999","0","TCEQ","","","","TX DEQ",""
"ANSON-025","NC","","Failure","01/01/2008","Hydrologic/flooding","Unknown","","","NC00000-174","","","No","","","","","","","","","heavy rains, failure","","","","","0 ft","0 ac-ft","0 acres","0","NC00000","","0","0","0","","","","","",""
"ANSONIA BRASS & COPPER CO.","CT","","Failure","05/28/1912","Unknown","Unknown","","","CT00000-201","","","No","","","","","","","","","","","","","","0 ft","0 ac-ft","0 acres","0","CT00000","","0","0","0","","","","","",""
"ANZALDUAS DIVERSION","TX","H","Non-failure","02/01/1972","Malfunction Of Equipment/gate","Gate/valve Failure","","","TX07036-2822","GATE FAILURE","","","","","","","","","","","","F","CN","CI","Y","23 ft","16400 ac-ft","1287 acres","1960","TX07036","RIO GRANDE","26.137","-98.334","0","N","","","","TX DEQ",""
"ARAPAHOE LAKE","CO","S","Non-failure","09/13/2013","Hydrologic/flooding","Overtopping","","","CO02089-2061","reported overtopping; Colorado Flooding of 9-13","","","","","","","","","","","","P","RE","R","Y","23 ft","45 ac-ft","4 acres","1974","CO02089","GOLDSMITH GULCH","39.6057","-104.874","0","DWR","","","","",""
"ARMADILLO DRIVE LAKE DAM","TX","S","Non-failure","08/29/2017","Hydrologic/flooding","Overtopping","Animal Activity","","TX07087-2932","OVERTOPPED, BEAVER HOLES.  DID NOT BREACH","Harvey","","","","","","","","","","","P","RE","","N","16 ft","47 ac-ft","0 acres","1800","TX07087","","30.7896","-95.5282","0","TCEQ","","","","TX DEQ",""
"ARMENDAIZ LEVEE","TX","L","Non-failure","08/29/2017","Hydrologic/flooding","Sliding","","","TX01818-3151","SLIDES","Harvey","","","","","","","","","","","P","RE","I","NR","7 ft","1330 ac-ft","0 acres","1960","TX01818","OFF CH-NORTH FLOODWAY","26.3531","-97.4907","0","TCEQ","","","","TX CEQ",""
"ARRAN LAKES DAM","NC","H","Failure","10/08/2016","Hydrologic/flooding","Overtopping","","","NC01144-2968","breached - roadway collapsed","Matthew","No","0","","0","","","$1 million to $5 million","","","","L","RE","R","N","21 ft","144 ac-ft","0 acres","0","NC01144","LITTLE BEAVER CREEK","35.029","-78.981","0","NCDENR","","1 day","","NCDEQ",""
"ARROWHEAD LAKE","PA","H","Failure","04/26/1994","Seepage/internal Erosion","Piping","","","PA00780-3220","A ""BLOWOUT"" UNDER THE CENTER OF OGEE WEIR WITH RELEASE OF A LARGE VOLUME OF WATER","","No","0","0","0","0","","$100,000 to $500,000","COFFERDAM CONSTRUCTED; A 20' BOTTOM WIDTH BREACH CHANNEL EXCAVATED TO DRAIN BY MAY 11","","HOLE UNDER WEIR MEASURED 20' WIDE & 4' DEEP.  REHAB PROJECT COMPLETE ON 7/27/2004.","P","RE","R","Y","18 ft","2344 ac-ft","218 acres","1954","PA00780","TROUT CREEK","41.1536","-75.5775","2002","PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION","","","","PA Dam Safety",""
"ASHLEY","MA","","Failure","01/07/1909","Seepage/internal Erosion","Piping","","","MA00000-114","","","No","","","","","","","","","Piping during first filling","","","","","0 ft","0 ac-ft","0 acres","0","MA00000","","0","0","0","","","","","",""
"ASHUELOT POND DAM","NH","S","Non-failure","07/30/2021","Hydrologic/flooding","High Reservoir Level","","","NH00237-3443","Heavy rainfall resulted in water levels at the top of the dam.","","Yes","0","1","0","0","None","Unknown","","","Dam was almost overopped","L","RE","R","Y","13 ft","3588 ac-ft","360 acres","1872","NH00237","ASHUELOT RIVER","43.1507","-72.1569","1925","NHDES DAM BUREAU","","1 day","","NHDES DAM BUREAU",""
"ASPEN LODGE RESORT AND SPA","CO","S","Non-failure","09/20/2013","Hydrologic/flooding","Overtopping","","","CO00000-2126","overtopped, debris flow plugged spillway, outlet inoperable, emergency breach - Colorado Flooding of 9-13","","","","","","","","","","","","","","","","0 ft","0 ac-ft","0 acres","0","CO00000","","0","0","0","","","","","",""
"ATHENS FISH AND GAME CLUB LAKE DAM","TX","L","Non-failure","05/11/2015","Hydrologic/flooding","Overtopping","","","TX00220-2710","OVERTOPPING, DID NOT BREACH","","","","","","","","","","","","P","RE","R","NR","28 ft","1419 ac-ft","100 acres","1920","TX00220","FLAT CREEK","32.2346","-95.7774","0","TCEQ","","","","TX DEQ",""
"ATKINSON DAM RECONSTR","NE","L","Non-failure","06/12/2010","Hydrologic/flooding","Overtopping","","","NE00410-1224","The dam was overtopped but did not fail.  The dam was rebuilt in 1992 after it breached through the emer spwy.","","No","","0","","0","","","","0 ac-ft","","L","RE","R","NR","13 ft","360 ac-ft","19 acres","1992","NE00410","ELKHORN RIVER","42.5379","-99.0005","0","NE DNR","","","","",""
"AUBERRY LUMBER MILL","CA","H","Non-failure","04/02/2018","Hydrologic/flooding","Insufficient Spillway Capacity","Overtopping","","CA10403-3258","The dam overtopped due to spillway pipes being clogged with overgrown vegetation. Overtopping eroded the downstream slope, which could have potentially led to failure. There is no low-level outlet at this dam.","","No","0","0","0","0","None","None","Response hindered as this was an illegal dam previously unknown to the Division of Safety of Dams until days after the event.","","","P","RE","S","N","17 ft","94 ac-ft","8 acres","0","CA10403","LITTLE SANDY CREEK","37.0676","-119.49","0","CA DWR","","1 day","Yes","CA DSOD",""
"AUGUSTINE","PA","S","Failure","03/05/2018","Hydrologic/flooding","Overtopping","Erosion","","PA01909-3187","OVERTOPPING ERODED 2 TO 3 FEET IN TOP OF EMBANKMENT AND ON DOWNSTREAM SLOPE.","","No","0","0","","","","","OWNER NOW AGREES TO REMOVE DAM & WILL BE ISSUED EMERGENCY PERMIT WITH SPECIFIED BREACH SIZE","","DAM DAMAGED BY FLOODING IN 2003-4 & OWNER ORDERED TO DRAIN & BREACH.  DAMAGES WERE REPAIRED.","P","RE","R","N","14 ft","10 ac-ft","0 acres","0","PA01909","TR JERSEY RUN","39.9511","-80.1628","0","PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION","","","","PA Dam Safety",""
"AUSTIN","TX","","Failure","04/06/1900","Structural Stability","Slope Stability","","","TX00000-105","","","No","7","","","","","","","","Fatalities: 7 - Seven to 10 people were killed while watching the flood from a hydroelectric powerhouse atop the dam.  Tom Miller Dam now at site.","","","","","0 ft","0 ac-ft","0 acres","0","TX00000","","0","0","0","","","","","",""
"BALDWIN HILLS","CA","","Failure","12/14/1963","Seepage/internal Erosion","Piping","","","CA00000-209","","","No","5","16500","","","","","","","Destroyed 65 houses; miles of streets, waterpipes, sewers & gas lines, damaged hundreds of houses & apartments. Water supply for Los Angeles. 232 high, 650 long dam. Impoundment: 20 acres, 70 deep Fatalities: 5 - Advance warning enabled evac of approx 16,500; 27 injured","","RE","","","232 ft","0 ac-ft","0 acres","0","CA00000","","0","0","0","","","","","",""
"BANNER LAKE #5","CO","L","Failure","04/29/2015","Seepage/internal Erosion","Piping","Vegetation","","CO01730-3016","Piping failure without full dam breach.  Likely root induced.","","","","","","","","","","","","S","RE","FR","NR","13 ft","112 ac-ft","16 acres","1960","CO01730","JIM CREEK","40.0784","-104.564","2002","DWR","","","","CO DWR",""
"BARCROFT","VA","","Failure","06/21/1972","Hydrologic/flooding","Overtopping","","","VA00000-129","","","No","","","","","","","","","Stuck gates during tropical storm Agnes.","","","","","0 ft","0 ac-ft","0 acres","0","VA00000","","0","0","0","","","","","",""
"BARNES MEADOW","CO","H","Non-failure","09/13/2013","Hydrologic/flooding","High Reservoir Level","","","CO00123-2083","Report of failing, only spillway flows - Colorado Flooding of 9-13","","","","","","","","","","","","L","RE","IS","Y","50 ft","3005 ac-ft","108 acres","1923","CO00123","JOE WRIGHT CREEK-TR","40.6","-105.836","0","DWR","","","","",""
"BARNEY M DAVIS COOLING RESERVOIR","TX","L","Non-failure","05/08/1986","Seepage/internal Erosion","Piping","","","TX01551-2793","PIPING","","","","","","","","","","","","P","RE","O","NR","20 ft","11400 ac-ft","0 acres","1973","TX01551","OFF CH-OSO CREEK","27.6267","-97.3483","0","TCEQ","","","","TX DEQ",""
"BARREN MILL DAM","MD","L","Failure","07/14/2016","Malfunction Of Equipment/gate","Gate/valve Failure","Overtopping","","MD00121-3076","Heavy rain overnight in watershed combined with inability to operate millrace gates resulted in overtopping failure.","","No","","","","","","","","","","P","RE","R","NR","9 ft","90 ac-ft","14 acres","0","MD00121","BARON CREEK","38.4617","-75.735","1979","MD DAM SAFETY","","","","MDE Dam Safety Program",""
"BARRY LAKES #1 DAM","NJ","L","Non-failure","08/01/2011","Seepage/internal Erosion","Piping","","","NJ00509-1164","Water flowing along outlet pipe/settlement along outlet pipe","","No","","0","","0","Unknown","Unknown","","","","P","PGRE","R","N","15 ft","59 ac-ft","20 acres","1955","NJ00509","WAWAYANDA CREEK-TR","41.1969","-74.4412","0","NJDEP","12:00 AM","","","",""
"BART LAKE DAM","TX","L","Non-failure","06/13/1973","Hydrologic/flooding","Overtopping","","","TX00121-2819","OVERTOPPED","","","","","","","","","","","","P","RE","R","NR","20 ft","214 ac-ft","8 acres","1955","TX00121","MCRAE CREEK","30.3715","-95.3387","0","N","","","","TX DEQ",""
"BARTLETT CARRY DAM","NY","S","Non-failure","05/06/2018","Seepage/internal Erosion","Cracking","Excessive/increased Seepage","Sinkhole","NY00011-3277","Leakage through the dam through the concrete on the upstream face of the spillway and through the porous core in the abutment wall caused excessive seepage which caused a sink hole.","","Yes","0","0","0","0","","","The seepage was repaired using additional cutoffs and relief drains and the sink hole was repaired.","","","P","CNOT","OR","Y","17 ft","70924 ac-ft","5066 acres","1915","NY00011","SARANAC RIVER","44.2506","-74.2942","0","NYS DEC","","3 days","Yes","NY Dam Safety",""
"BARTLETT POND DAM","NY","L","Non-failure","08/28/2011","Hydrologic/flooding","Overtopping","","","NY01114-1319","Dam overtopped by estimated 6"" of water.  Hurricane Irene","Irene","No","","","","","","","","","","L","RE","S","N","14 ft","1447 ac-ft","70 acres","1918","NY01114","BARTLETT BROOK","44.1","-73.5117","0","NYS DEC","","","","",""
"BASELINE - EAST","CO","H","Non-failure","09/12/2013","Hydrologic/flooding","Unknown","","","CO00214-2062","Unprecedented, uncontrolled inflows Colorado Flooding of 9-13","","","","","","","","","","","","P","RE","IS","Y","44 ft","6592 ac-ft","270 acres","1905","CO00214","DRY CREEK","39.9986","-105.198","0","DWR","","","","",""
"BASELINE - NORTHWEST","CO","H","Non-failure","09/12/2013","Structural Stability","Slope Stability","","","CO02820-2063","slope instability with uncontrolled inflow and continuing rain. Colorado Flooding of 9-13","","","","","","","","","","","","P","RE","IS","Y","20 ft","6592 ac-ft","270 acres","1905","CO02820","SOUTH BOULDER CREEK-OS","40.0028","-105.206","0","DWR","","","","",""
"BASS HAVEN LAKE DAM","TX","L","Failure","08/17/1984","Unknown","Unknown","","","TX05119-2797","BREACHED","","","","","","","","","","","","P","RE","T","NR","30 ft","750 ac-ft","35 acres","1974","TX05119","TR-COON CREEK","32.0011","-95.9015","1986","TCEQ","","","","TX DEQ",""
"BASTROP STATE PARK DAM","TX","L","Failure","05/23/2015","Hydrologic/flooding","Overtopping","","","TX02717-2612","Severe storms caused the dam to overtop and fail","","","0","0","0","0","","","","","rainfall event began around 4 pm on May 25, dropping about 4 to 5 inches of rain in Travis and Bastrop Counties in about 2 hours","S","RE","R","NR","18 ft","110 ac-ft","0 acres","1913","TX02717","TR-COPPERAS CREEK","30.1124","-97.277","1935","TCEQ","","","Yes","GEER Report","Y"
"BATAVIA KILL WATERSHED DAM #3","NY","H","Non-failure","08/28/2011","Hydrologic/flooding","Spillway Erosion/head Cutting","","","NY00608-1297","Right auxiliary spillway eroded down by 50 feet but has not reached the control section of the spillway. Hurricane Irene.","Irene","No","","","","","","","","","","L","RE","C","Y","74 ft","1415 ac-ft","5 acres","1970","NY00608","TR-BATAVIA KILL","42.3211","-74.2325","0","NYS DEC","","","","",""
"BATAVIA KILL WATERSHED DAM #4A","NY","H","Non-failure","08/28/2011","Hydrologic/flooding","Spillway Erosion/head Cutting","","","NY00570-1295","Erosion observed on both auxiliary spillways. Hurricane Irene.","Irene","","","","","","","","","","","L","RE","C","Y","77 ft","2928 ac-ft","10 acres","1967","NY00570","BATAVIA KILL","42.3322","-74.2478","2013","NYS DEC","","","","",""
"BATTLE LAKE DAM","TX","L","Non-failure","05/10/2009","Deterioration Or Poor Condition","Spillway Riser Failure","","","TX04113-779","Spillway drop inlet failed and drained the lake","","No","","0","","0","None","","","","County Emergency management personnel were contacted and were ready to evacuate.","L","RE","IR","NR","32 ft","916 ac-ft","30 acres","1908","TX04113","RIGGS CREEK","31.548","-96.901","0","N","","","","",""
"BAXLEY 501 POND DAM","SC","S","Failure","09/16/2018","Hydrologic/flooding","Overtopping","Erosion","","SC01805-3122","Hurricane Florence dropped heavy precipation on the watershed over approximately 72 hours, causing the dam to overtop.  Dam was previously heavily impacted from Hurricane Matthew in 2016.  Failure location is also where a void from an overturned tree was located, which is suspected as cause of the breach occurring where it did.","Hurricane Florence","No","0","0","0","0","","","State Dam Safety Program performed a full inspection following the breach of this dam.  The inspection report will contain a requirement that the Owner hire an engineer and submit either a permit application for repair or removal of the dam.","","Report on dam failures associated with Hurricane Florence to be released by Geotechnical Extreme Event Reconnaisance (GEER) group at some point in the future. GEER team field work occurred during month of September 2018.","P","RE","R","Y","7 ft","141 ac-ft","22 acres","1953","SC01805","LITTLE REEDY CREEK","34.1114","-79.3352","0","SC DHEC","","","","SC Dam Safety",""
"BAXLEY 501 POND DAM","SC","S","Non-failure","10/08/2016","Hydrologic/flooding","Unknown","","","SC01805-3008","Hurricane Matthew - Overtopping of auxilliary spillway with significant erosion.","Matthew","No","0","0","0","0","","","","","","P","RE","R","Y","13 ft","141 ac-ft","22 acres","1953","SC01805","LITTLE REEDY CREEK","34.1117","-79.335","0","SCDHEC","","3 Days","No","SC DHEC",""
"BAYLESS PULP & PAPER MILL","PA","","Failure","09/30/1911","Unknown","Unknown","","","PA00000-200","","","No","88","","","","","","","","Fatalities: 88 -","","","","","0 ft","0 ac-ft","0 acres","0","PA00000","","0","0","0","","","","","",""
"BEARFOOT LAKE DAM","TX","H","Non-failure","10/17/1994","Unknown","Spillway Erosion/head Cutting","","","TX03916-2755","E.S. BREACH","","","","","","","","","","","","P","RE","R","N","27 ft","3207 ac-ft","0 acres","1964","TX03916","MILL CREEK","30.4819","-94.7734","0","N","","","","TX DEQ",""
"BEARFOOT LAKE DAM","TX","H","Non-failure","01/01/1989","Hydrologic/flooding","Overtopping","","","TX03916-2787","OVERTOPPING","","","","","","","","","","","","P","RE","R","N","27 ft","3207 ac-ft","0 acres","1964","TX03916","MILL CREEK","30.4819","-94.7734","0","N","","","","TX DEQ",""
"BEARFOOT LAKE DAM","TX","H","Non-failure","06/26/1986","Hydrologic/flooding","Overtopping","","","TX03916-2792","OVERTOPPING","","","","","","","","","","","","P","RE","R","N","27 ft","3207 ac-ft","0 acres","1964","TX03916","MILL CREEK","30.4819","-94.7734","0","N","","","","TX DEQ",""
"BEAUFONT SPRING DAM","VA","S","Non-failure","08/06/2014","Hydrologic/flooding","Overtopping","","","VA04177-2443","Overtopping resulted in erosion of downstream face","","","","","","","","","","","Damage limited to the dam itself","P","","","N","33 ft","139 ac-ft","0 acres","0","VA04177","TRIB. POWHITE CREEK","37.5078","-77.5312","0","DCR","","","","",""
"BEAVER CREEK DAM","VA","H","Non-failure","05/21/2018","Hydrologic/flooding","Spillway Chute Failure","","","VA089003-3304","Damage due to excessive rain.  Unable to maintain the lower pool level of 18” down from crest of their concrete spillway, and water is again flowing through their damaged concrete spillway.  Voids under the concrete spillway and heaved slab sections on th","","No","0","","","","","","","","It was then found that even with flows as low as 0.5 CFS (about 225 gallons per minute)in the spillway there was continual and significant amounts of subslab base material from under the spillway concrete spillway eroding out and depositing into the plun","L","RE","S","Y","70 ft","6603 ac-ft","206 acres","0","VA089003","BEAVER CREEK","36.7433","-79.875","0","DEPARTMENT OF CONSERVATION AND RECREATION","","","","VA DCR",""
"BEAVER PARK","CO","H","Non-failure","03/18/2016","Seepage/internal Erosion","Sinkhole","","","CO00763-3014","Sinkholes developed in the reservoir area on the far left abutment","","Yes","","","","","","","","","probably connected to 1916 landslide seepage area.  Seepage there jumped from 0.10' to 0.3' on a 6-inch parshal flume.  EAP Level 1 activation, reservoir lowering to below any new sinkholes.","S","ER","RFIO","Y","114 ft","5800 ac-ft","94 acres","1912","CO00763","BEAVER CREEK","37.5961","-106.667","0","DWR","","","","CO DWR",""
"BECKMAN LAKE","WI","S","Non-failure","08/23/2019","Malfunction Of Equipment/gate","Other","","","WI00998-3420","Wasn't a significant incident per se.  Stoplog at the bottom of the riser pipe broke. Was signficant in the fact that nearly the entire impoundment needed to drain in order to complete repair.","","Yes","0","0","0","0","None","None","Activated EAP by keeping necessary parties informed and implemented monitoring procedures.","","Repair to stoplog has since been completed.","S","PGRE","R","Y","21 ft","800 ac-ft","73 acres","1965","WI00998","ZANDER CREEK","42.5819","-89.7745","0","WIDNR","","3 days","No","WI Dam Safety",""
"BEDFORD WATER SUPPLY DAM","IA","S","Non-failure","10/11/2018","Deterioration Or Poor Condition","Piping","Erosion","Spillway Pipe Failure","IA01052-3245","Piping and loss of significant downstream embankment slope due to deteriorated corrugated metal pipe.","","No","0","0","0","0","None","None","","","","L","RE","S","NR","44 ft","598 ac-ft","30 acres","1969","IA01052","TR-EAST FORK 102 RIVER","40.6822","-94.7127","0","IOWA DNR","","","","IA DNR",""
"BEDFORD WATER SUPPLY DAM","IA","S","Non-failure","10/11/2018","Deterioration Or Poor Condition","Spillway Pipe Failure","Piping","","IA01052-3360","Piping and loss of significant downstream embankment slope due to deteriorated corrugated metal pipe.","","","","","","","","","","","","L","RE","S","NR","44 ft","598 ac-ft","30 acres","1969","IA01052","TR-EAST FORK 102 RIVER","40.6822","-94.7127","0","IOWA DNR","","","","IA Dam Safety",""
"BELLEVILLE","WI","L","Non-failure","08/20/2018","Hydrologic/flooding","Erosion","Excessive/increased Seepage","","WI00116-3338","Boils on downstream side of auxiliary spillway due to scour","","Yes","","Unknown","8","Unknown","Bridges","","","","Evacuated as a precaution, also due to general flooding. Water in some basements.","L","PGRE","R","Y","15 ft","260 ac-ft","112 acres","1860","WI00116","SUGAR","42.8605","-89.5358","1918","WIDNR","","","Unknown","WI DNR",""
